楼盘名称,楼盘位置,单价,总价,面积
君御世家,槐荫区,19000,总价待定,3-4室106-170㎡
金域蓝山,历下区,19000,总价待定,3室99-137㎡
力高君御华府,商河县,,,2-3室92-134㎡
银丰唐郡荷花园,历城区,6300,总价待定,2-3室91-150㎡
荣盛时代首府,历城区,18000,总价待定,2-3室79-124㎡
绿地欢乐颂,槐荫区,8500,总价待定,1室38-68㎡
重汽1956,高新,12000,总价待定,2-4室93-196㎡
鲁商盛景广场,高新,12500,总价待定,39-80㎡
温泉郡,历城区,12000,总价待定,2-3室83-98㎡
凯旋公馆,历下区,9500,总价待定,2-3室80-131㎡
金基悦麓,长清区,,,3-5室106-206㎡
华润中心,历下区,17000,总价待定,35-160㎡
华润置地昆仑御,历下区,23000,总价待定,3-4室115-165㎡
腾跃苑,平阴县,6700,总价待定,3室113㎡
新城领寓,槐荫区,11000,总价待定,
银丰公馆,长清区,,,2-3室89-140㎡
裕都天香苑,商河县,,,4-6室200-340㎡
竹泉溪语,长清区,7250,总价待定,240-332㎡
中海珑玺,历城区,19000,总价待定,3-4室96-200㎡
新悦广场,历下区,,,28-30㎡
实力粼湖居,槐荫区,,,2-3室98-145㎡
中建长清湖,长清区,12000,总价待定,3室48-150㎡
地平西棠甲第,槐荫区,17999,总价待定,3-4室107-168㎡
恒大翡翠华庭,槐荫区,8800,总价待定,3-4室144-183㎡
白金瀚宫,市中区,,,2-3室84-182㎡
海那城洋房世家,槐荫区,11000,总价待定,91-160㎡
怡景园,市中区,7800,总价待定,2-3室95-130㎡
恒大金碧新城,槐荫区,9062,总价待定,3室39-137㎡
世茂原山首府,市中区,17000,126-182万,2-4室84-160㎡
中国铁建明山秀水,商河县,9000,总价待定,2-3室73-136㎡
鑫隆颐景城,商河县,6500,总价待定,2-3室92-140㎡
保利华庭,历下区,,86-120万,2-3室80-105㎡
龙山东苑,章丘市,,,2-3室82-128㎡
鲁中康桥,平阴县,4500,总价待定,2-4室100-172㎡
中弘广场,历下区,,,1室71-85㎡
鲁商御龙湾,长清区,18000,总价待定,8室220-780㎡
四建金海福苑,济阳县,8500,总价待定,3-4室110-145㎡
新城香溢华庭,历城区,14000,总价待定,
绿地IFC中央公馆(绿地国金),历下区,,247-472万,3-4室103-197㎡
万科幸福里,历城区,13500,总价待定,2-3室86-125㎡
国华印象,高新,,,6室107-396㎡
黄金山水郡,历下区,,,2-8室91-640㎡
泰和名都,商河县,,,2-4室82-142㎡
山东高速绿城雪野湖桃花源,莱芜,12000,总价待定,4室53-258㎡
中海珑岸,历城区,15000,总价待定,3-4室95-165㎡
龙山希思庄园,历城区,11400,总价待定,5室88-468㎡
济南鲁能领秀公馆,市中区,10000,90-189万,3-4室93-165㎡
左邻右舍,市中区,8200,70-90万,2-3室97-124㎡
舜奥华府,历下区,15000,总价待定,
知山雅筑,市中区,13500,总价待定,2-3室70-157㎡
城建吉祥园,章丘市,,,2-3室99-125㎡
实力水景华府,槐荫区,7582,总价待定,3室133-140㎡
腊山御园,槐荫区,15000,135万起,2室90㎡
万科海晏公馆,历下区,13499,总价待定,49-62㎡
西城济水上苑,槐荫区,13000,64-106万,2-3室90-140㎡
茗筑华府,历下区,21000,总价待定,2-3室92-144㎡
金汇瀚玉城,高新,,,
安泰诚品,市中区,8500,总价待定,2-3室85-124㎡
山景明珠MOMA,市中区,12000,总价待定,2室103-156㎡
幸福逸居,天桥区,9574,总价待定,1-2室33-67㎡
汇侨城,长清区,7999,总价待定,2-3室80-134㎡
重汽翡翠雅郡,高新,12700,总价待定,1-3室58-160㎡
凯旋新城嘉苑,槐荫区,11325,总价待定,1-5室69-226㎡
绿地IFC中央公馆,历下区,24000,总价待定,5室35-180㎡
紫微广场,长清区,6400,总价待定,1室50㎡
龙湖水晶郦城,槐荫区,14000,总价待定,3室95-140㎡
鲁能漫山香墅麓府,市中区,26000,总价待定,3-4室135-243㎡
影山邻里中心,天桥区,5500,总价待定,30㎡
北纬37度,商河县,,,3-4室129-159㎡
金科澜山公馆,天桥区,18000,总价待定,2-3室82-147㎡
奥体金茂府,历下区,26000,总价待定,3-4室144-230㎡
中建锦绣兰庭,槐荫区,6400,总价待定,3室90-120㎡
万科翡翠公园,历下区,26000,总价待定,3-4室127-175㎡
和信SOHO,天桥区,,,
天鸿万象新天,历城区,,,1-3室58-142㎡
宏瑞国际星城,市中区,,,1-4室58-143㎡
济南万达城,历城区,17000,总价待定,3-4室100-165㎡
东岸,高新,,,3-5室145-420㎡
阳光100凤凰街,槐荫区,20000,总价待定,1-4室26-183㎡
绿景尚品,历下区,19500,总价待定,2-3室90-229㎡
宝青幸福里,商河县,,,
连城国际写字楼,槐荫区,13000,总价待定,
济南华强广场,历下区,13000,总价待定,
力高未来城,济阳县,7300,总价待定,3室95-120㎡
海信贤文世家,高新,23998,总价待定,
恒生望山,槐荫区,,,
恒大城,历城区,21000,总价待定,4室35-165㎡
锦绣华府,天桥区,17000,总价待定,
银丰唐郡,历城区,,,2-3室91-126㎡
观山壹号院,历城区,16500,总价待定,3-4室126-160㎡
中物世纪芯商办,历城区,,,450-2800㎡
鑫苑名家,天桥区,10085,总价待定,
中铁城,历城区,27000,总价待定,
中海国际社区,市中区,19000,总价待定,2-4室87-196㎡
仁恒公园世纪,历下区,29999,总价待定,2-4室90-180㎡
济南高新万达广场商铺,高新,,,
华润城紫云府,市中区,22000,总价待定,2-4室90-165㎡
彩虹湖,高新,6000,总价待定,
甸新佳园和平里,历下区,16000,总价待定,2-3室70-92㎡
尚东1956,历城区,18000,总价待定,2-4室87-230㎡
长清名流家园,长清区,9500,总价待定,2-3室86-122㎡
正大利农六号,历下区,14081,总价待定,2-3室98-117㎡
恒生艾特公寓,槐荫区,25000,总价待定,42-66㎡
中康绿城百合花园,章丘市,,,3-4室110-169㎡
连城中心,槐荫区,,,
卓亚香格里,平阴县,4000,总价待定,2-4室93-151㎡
正华水悦府,济阳县,,,2-3室89-127㎡
济南万科城,历下区,9500,总价待定,2-3室81-140㎡
欧亚大观商都,市中区,16000,总价待定,33-70㎡
中国MALL城市之星,市中区,25000,总价待定,2-4室85-148㎡
万科新里程,历城区,14000,总价待定,2-3室81-106㎡
北园新天地,天桥区,,,28-38㎡
瑞境皇冠水岸,章丘市,,,3-4室218-294㎡
鲁能·领秀公馆,市中区,9500,83-173万,3-4室93-165㎡
中天汇丽华城,历下区,27000,总价待定,5室155-303㎡
温泉国际,商河县,4200,总价待定,2室46-402㎡
首创向阳城,历城区,,,2室57-86㎡
映月紫云城,槐荫区,20000,总价待定,2-4室65-138㎡
高新绿城玉蘭花园,高新,25499,总价待定,3-4室104-160㎡
融创澄波府,济阳县,8900,总价待定,3室115-130㎡
万科公园里,槐荫区,13500,总价待定,3-4室92-150㎡
中新国际城,历城区,13000,总价待定,2-4室84-143㎡
永大颐和园,历城区,17500,总价待定,2-4室90-192㎡
璀璨悦府,槐荫区,16000,总价待定,3室103-119㎡
恒大金碧新城,槐荫区,,,2-3室87-121㎡
融利广场,市中区,9000,总价待定,30-60㎡
连城国际,槐荫区,,,1室39-93㎡
济南天马相城,高新,28000,总价待定,
明湖广场,天桥区,12500,总价待定,34-87㎡
绿地隆悦公馆,历城区,20000,总价待定,4室111-194㎡
凤凰国际,高新,23800,总价待定,2-4室94-246㎡
中新锦绣天地,历城区,13000,总价待定,3-4室105-165㎡
中海奥龙观邸,历下区,14766,总价待定,2-4室90-245㎡
中央华府,商河县,6700,总价待定,2-3室85-132㎡
利民君临天下,章丘市,,,3室103-140㎡
加州东部世界城,历城区,11500,总价待定,3-4室93-136㎡
发祥福邸,天桥区,13879,总价待定,2-3室97-142㎡
济南恒大财富中心,槐荫区,,,
银丰南山墅,长清区,9100,总价待定,3-7室115-330㎡
龙湖春江悦茗,历城区,15000,总价待定,
三发尚河名郡,商河县,,,2-4室87-226㎡
鲁商盛景广场写字楼,历下区,,,1200㎡
茂昌银座新天地,平阴县,3900,总价待定,
中骏尚城,槐荫区,9800,总价待定,
西城济水上苑北区,槐荫区,13499,总价待定,2-3室90-140㎡
联合财富广场,高新,10000,总价待定,85-1440㎡
绿地中心,市中区,26000,总价待定,1室393-2000㎡
兰亭鉴筑花园,市中区,8800,总价待定,2室85㎡
康桥圣菲,长清区,16000,总价待定,6室278-650㎡
中建文化广场,历下区,16507,总价待定,2-4室89-179㎡
万科金域华府,历下区,23000,总价待定,2-3室84-127㎡
力高澜湖郡,天桥区,,,
祥泰广场,市中区,8666,总价待定,3室41-75㎡
银都花园,济阳县,4200,总价待定,2-4室96-146㎡
联合云东府,长清区,8990,总价待定,3-4室110-145㎡
中骏柏景湾,章丘市,,,3-4室100-180㎡
天鸿公园大道,历城区,13600,总价待定,3-4室95-140㎡
锦水丽景,平阴县,7300,总价待定,2-3室109-200㎡
华创观礼中心,高新,,,55-193㎡
龙山尚苑,章丘市,,,3室97-118㎡
大友中心,章丘市,,,
和信城市广场,天桥区,35000,总价待定,
明湖白鹭郡,高新,14000,总价待定,1-3室40-131㎡
景嘉山庄,槐荫区,4062,总价待定,2室89-105㎡
海信九麓府,天桥区,12000,总价待定,3-4室95-142㎡
金桥国际,历城区,13500,总价待定,41-102㎡
凤凰SOHO,高新,16000,总价待定,
绿城商河百合花园,商河县,6400,总价待定,3-4室126-180㎡
银丰唐郡·紫薇园,历城区,6000,总价待定,3-4室157-177㎡
港基城市广场,长清区,8500,总价待定,50㎡
蓝光雍锦半岛,市中区,,,4-7室293-592㎡
彩虹瀛园,商河县,6600,总价待定,3-4室126-165㎡
鲁商凤凰城,历城区,6600,总价待定,2-4室80-168㎡
林里天怡,章丘市,,,4室90-195㎡
名辉豪庭,历城区,,,
巴黎花园,天桥区,13000,总价待定,1室56㎡
海亮艺术华府,槐荫区,16000,总价待定,2-3室85-117㎡
海亮艺术华府（商业）,槐荫区,13000,144万起,1室111㎡
中齐未来城,高新,10220,总价待定,2-3室89-129㎡
奥东别墅臻园,历城区,26700,总价待定,5室368㎡
博纳龙域天城,济阳县,7500,总价待定,2-3室84-135㎡
万科翡翠山语,历城区,15500,总价待定,4室130㎡
三名嘉禾园,市中区,9603,总价待定,2-3室90-148㎡
济水别苑,长清区,,,3-4室111-149㎡
中铁奥体26方,高新,,,4室26-175㎡
新世界阳光花园,槐荫区,,,
腊山御园,槐荫区,14999,总价待定,2-4室93-414㎡
华润置地公元九里,市中区,19000,总价待定,3-4室95-159㎡
济南高新万达广场写字楼,高新,,,
银丰花园,市中区,13025,总价待定,3-4室115-188㎡
火炬东第,历城区,7977,总价待定,
永大明珠东山美郡,章丘市,,,
加州·启城,天桥区,15000,48-86万,2-3室72-125㎡
拉菲微公馆,历下区,16000,总价待定,6室35-294㎡
鲁邦奥林逸城,高新,11000,总价待定,
莱芜莱钢金鼎左岸水都,莱芜,12000,总价待定,2-6室110-372㎡
汉峪金谷金寓,高新,16000,总价待定,59-96㎡
金科澜山公馆商铺,天桥区,,,40-81㎡
万科大都会,历下区,28999,总价待定,3室39-206㎡
东方新天地花园,槐荫区,7225,总价待定,2-3室103-161㎡
福景佳苑·2期,市中区,8700,总价待定,2-3室89-140㎡
帝华城,济阳县,7000,总价待定,
南益名泉春晓,天桥区,8000,总价待定,46-64㎡
海那城总部,槐荫区,12800,总价待定,
卢浮公寓,槐荫区,12500,总价待定,47-52㎡
泰悦赫府,历下区,24500,总价待定,
诺德名城,商河县,,,2-6室49-251㎡
恒大滨河左岸,天桥区,16200,总价待定,2-4室80-166㎡
名辉豪庭,历城区,8400,总价待定,1-2室78-95㎡
中国铁建国际中心,历下区,17000,总价待定,1500㎡
济南中麓府,章丘市,,,3室115㎡
映月清水湾,天桥区,9599,总价待定,2-4室95-225㎡
祥生中央华府,济阳县,8400,总价待定,3-4室104-163㎡
济南义乌小商品批发市场,章丘市,,,
东篱雅舍,历城区,9905,总价待定,
开元府,历下区,33000,总价待定,4-5室253-373㎡
盛世锦园,章丘市,,,2-4室83-141㎡
汇隆广场写字楼,历下区,,,
长兴美郡,长清区,10000,总价待定,2-3室87-136㎡
中强置业,历城区,,,
中润世纪中心,历下区,15000,总价待定,
悦府·保利海德公馆Ⅲ期,历城区,9500,总价待定,4室262-281㎡
紫金山国际,天桥区,6500,总价待定,1-4室45-215㎡
三庆青年城,长清区,8500,总价待定,3室30-90㎡
万科山望,市中区,19800,总价待定,3室132-155㎡
新泉城名苑,槐荫区,,,54-56㎡
济南中弘广场,历下区,,90万起,1室60㎡
水晶东座,高新,,,2室83-86㎡
建邦原香溪谷,长清区,26000,总价待定,2-4室96-422㎡
港基城市经典,长清区,6666,总价待定,2-3室88-124㎡
商河红星天铂,商河县,6700,总价待定,3-4室105-140㎡
禧福凤凰城,济阳县,7101,总价待定,3-4室118-139㎡
财富壹号,槐荫区,,,3室76-160㎡
保利四方街,历下区,,,
建大花园二期学府名邸,高新,8814,总价待定,
华润城仰山,市中区,32000,总价待定,5室140-820㎡
安大城市广场,济阳县,,,
中国盒子,历下区,9047,总价待定,2-4室106-160㎡
三庆御园,槐荫区,15000,总价待定,3室126㎡
万科麓城麓公馆,高新,13000,总价待定,
外海中央花园,槐荫区,,,2-4室79-174㎡
国华新经典,市中区,,,
三庆城市主人,历下区,18500,总价待定,
天阶·泓都国际,历下区,9900,总价待定,2-4室60-112㎡
易安明郡,章丘市,,,2-4室100-213㎡
华夏福地,历下区,22000,总价待定,1-3室33-120㎡
东合龙山郡,章丘市,6700,123-263万,3-4室190-377㎡
绿地新里爱丽舍公馆,槐荫区,12327,总价待定,2-3室92-130㎡
四建美林苑,天桥区,9700,总价待定,2-4室98-179㎡
万豪君悦府,历下区,12403,总价待定,2-4室32-53㎡
绿城梦想小镇,历城区,9000,总价待定,110㎡
粼湖居,槐荫区,13000,总价待定,
融汇爱都,市中区,,,2-3室84-136㎡
山钢新天地广场,高新,,,
凤凰山庄三期,天桥区,8765,总价待定,1-3室40-149㎡
邦华吉祥居,平阴县,3200,总价待定,2-3室84-118㎡
祥恒广场,历下区,,,2084㎡
万科龙湖城市之光云玺,历城区,16200,总价待定,3-4室95-140㎡
泉景天沅LOFT,市中区,10000,总价待定,41-51㎡
力高国际,高新,11022,总价待定,2-3室95-131㎡
明基铂宫,章丘市,,,2-4室88-133㎡
状元府邸,商河县,,,3室102-143㎡
名门世家,槐荫区,9000,总价待定,2室170-300㎡
翡丽公馆,历城区,17000,总价待定,3-4室104-161㎡
莱钢凯旋中心,槐荫区,,,
尚品清河,天桥区,10377,总价待定,2-4室93-169㎡
龙泉壹号,章丘市,,,2-4室93-160㎡
大尧风华盛景,槐荫区,16300,总价待定,2-4室92-143㎡
舜耕中心,历下区,,,1000-18000㎡
鲍德现代逸城,历下区,12691,总价待定,2-3室88-162㎡
保利海德公馆,历城区,19500,总价待定,
宝恒水木清华,商河县,,,2-5室105-198㎡
山景舜园,市中区,22000,总价待定,2-3室74-131㎡
和润尚东企业公馆,历城区,8500,总价待定,40-50㎡
外海蝶泉山庄,市中区,10445,总价待定,2室84-96㎡
华鑫现代城,济阳县,,,2-3室40-99㎡
济南高新万达广场,高新,12000,总价待定,2-3室98-185㎡
绿地国金中心,历下区,26000,257-377万,3-4室103-145㎡
金科东方博翠,高新,,,3-4室143-170㎡
融基御水山庄,槐荫区,,,
鑫茂齐鲁科技城,天桥区,5000,总价待定,
鲁能领秀公馆,市中区,19500,总价待定,
中物世纪芯公寓,历城区,9800,总价待定,30-65㎡
龙腾国际花园,槐荫区,13000,总价待定,2-4室80-332㎡
青旗山花园,章丘市,,,2-3室90-125㎡
济南世茂天城,天桥区,17000,总价待定,1-4室57-160㎡
财富壹号广场,槐荫区,10000,总价待定,
中建锦绣首府,槐荫区,21000,总价待定,3-4室125-160㎡
世茂国际广场,历下区,17500,总价待定,
广厦聚隆广场商业,历城区,,,
龙湖天琅,槐荫区,20000,总价待定,3-4室140-170㎡
三庆齐盛广场,高新,,,
璟园,历下区,21999,总价待定,3-4室97-170㎡
西城铭苑,槐荫区,,,2室70-74㎡
祥泰新河湾,高新,7174,总价待定,
四建美林大厦,天桥区,,,1室57-91㎡
保利泉馨苑,历下区,12777,总价待定,2室84㎡
新城和昌湖畔樾山,商河县,,,4-6室141-249㎡
海信慧园,高新,9788,总价待定,2-3室83-139㎡
鲁商常春藤,长清区,7000,总价待定,
淮海东城御景,历下区,,,
恒生晶石中心,历下区,,,
历山名郡,历下区,27058,总价待定,1-2室42-104㎡
中齐他山,市中区,11408,总价待定,3室145-163㎡
鲁商国奥城写字楼,历下区,,,
淮海御墅,平阴县,4000,总价待定,2-3室81-147㎡
保利花园,历城区,7386,总价待定,2-4室93-185㎡
银座好望角,天桥区,,,
杨柳春风,槐荫区,,,3-5室118-390㎡
魏华园新区,市中区,3980,总价待定,
燕玺台,历下区,34000,总价待定,
缤润汇,高新,,,54㎡
逸城山色,历下区,18112,总价待定,1-3室40-139㎡
中建瀛园,长清区,13999,总价待定,5室75-498㎡
海尔绿城全运村,历下区,27000,总价待定,
绿地新里梵尔赛公馆,天桥区,7600,总价待定,
温泉公馆,历城区,,,540-760㎡
嘉瑞铭城,平阴县,7000,总价待定,2-4室97-149㎡
天业龙奥天街,高新,15000,总价待定,2000㎡
国际财富中心,市中区,,,
桃花源避暑山庄,历城区,3300,总价待定,200-260㎡
河泰优山美郡,历城区,15000,总价待定,2-5室91-199㎡
万科正荣天宸,历城区,15000,总价待定,3-4室97-125㎡
金湖国际,济阳县,8300,总价待定,2-3室88-135㎡
龙翔国际,历城区,,,
碧桂园森林城市--济南站,历下区,,80-1442万,1-6室48-577㎡
招商公园1872,历下区,,,3-4室130-175㎡
泰悦盛景,章丘市,,,4-6室375-463㎡
济南阳光城丽景公馆,长清区,9500,总价待定,
银丰玖玺城,历下区,22000,总价待定,3-4室130-180㎡
华港世纪城幸福广场,章丘市,,,
黄金生态城,章丘市,,,3-4室119-190㎡
耕读世家,长清区,6200,总价待定,2-5室105-220㎡
明湖·太学苑,高新,8000,总价待定,2-3室82-118㎡
万科如园,高新,15000,总价待定,
中铁逸都阅山,高新,19500,总价待定,3-4室137-166㎡
和信城市,市中区,9600,总价待定,2-3室85-140㎡
汇隆广场,高新,8000,总价待定,2室110㎡
