公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京弘道智慧中医技术有限公司,弘道,50-150人,不需要融资,海淀区,算法架构师,3-5年,博士,30k-60k,"五险一金,带薪年假,交通餐补,创业公司"
北京寻宝天行网络技术有限公司,寻宝天行,50-150人,不需要融资,朝阳区,算法工程师,不限,硕士,10k-20k,"节假日福利,六险一金,免费班车,加班补贴"
世纪禾光科技发展（北京）有限公司,敦煌网,500-2000人,D轮及以上,海淀区,算法实习生,不限,本科,3k-5k,弹性工作制
北京多知科技有限公司,考虫网,150-500人,D轮及以上,东城区,算法工程师,3-5年,本科,15k-30k,"在线教育,D轮,发展空间,热情 创新"
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,算法总监,3-5年,硕士,30k-60k,最大互联网汽车服务交易平台
上海阅文信息技术有限公司,阅文集团,500-2000人,上市公司,朝阳区,算法/数据挖掘高级工程师,3-5年,本科,30k-50k,"技术大牛多,环境好,福利好,晋升快"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,算法实习生,不限,硕士,4k-8k,"成长空间,餐补"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法leader,5-10年,硕士,40k-70k,"核心业务,发展空间大"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法/大数据(J180719005),3-5年,本科,30k-60k,广阔平台 急速成长 诱人福利
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师,应届毕业生,本科,20k-30k,扁平管理，职业大牛，晋升空间，团队氛围好
北京蓦然认知科技有限公司,蓦然认知科技,50-150人,A轮,海淀区,算法工程师,1-3年,本科,25k-45k,比Google 和 Siri 还牛的研发团队
深思考人工智能机器人科技（北京）有限公司,深思考人工智能机器人,50-150人,A轮,海淀区,机器学习与算法工程师/研究员,不限,硕士,15k-30k,"前沿公司,大平台"
北京周同科技有限公司,周同科技,50-150人,A轮,朝阳区,算法工程师,不限,硕士,15k-25k,年底双薪、带薪年假、扁平化管理
北京望石智慧科技有限公司,北京望石智慧科技有限公司,15-50人,天使轮,海淀区,算法实习生,应届毕业生,硕士,6k-8k,"牛人多,期权,国际视野,发展前景好"
鼎力联合（北京）科技有限公司,赛格威机器人,50-150人,C轮,海淀区,算法实习生,应届毕业生,本科,5k-8k,"智能机器人,创新,牛人团队,黑科技"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,算法研究员,应届毕业生,硕士,20k-40k,"弹性工作,餐费补助,工业数据"
