公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
京东方科技集团股份有限公司,BOE,2000人以上,上市公司,大兴区,知识图谱研究员/算法研究员,1-3年,本科,16k-32k,上市公司/完整薪资包
中诚信征信有限公司,中诚信征信,150-500人,不需要融资,东城区,算法工程师,1-3年,本科,20k-35k,"行业领导者,优美四合院,午餐和零食,周五7小时"
北京多来点信息技术有限公司,哗啦啦,500-2000人,不需要融资,西城区,算法工程师,1-3年,本科,25k-35k,五险一金 年终奖金 带薪年假 节日福利
北京汉能光伏投资有限公司,汉能集团,2000人以上,上市公司,朝阳区,算法工程师,3-5年,本科,25k-50k,"超赞环境,丰盛三餐,优秀团队,优秀平台"
北京快数信息技术有限公司,TurboData,15-50人,A轮,海淀区,算法工程师,3-5年,本科,20k-40k,"快数发展,福利好,期权丰厚,技术领先"
新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,算法专家,1-3年,本科,35k-70k,"业务前景好,待遇好,发展空间大"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,算法工程师,1-3年,本科,25k-50k,"大牛如云,待遇给力,海量数据,顶尖团队"
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,算法工程师(J11056),3-5年,本科,30k-50k,"平台好,福利好"
厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,朝阳区,算法工程师-推荐方向,3-5年,本科,25k-50k,个性化推荐
央视市场研究股份有限公司,CTR,500-2000人,D轮及以上,西城区,算法工程师-RM,3-5年,硕士,20k-30k,"福利待遇优,团队合作好,领导亲和"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法实习生,应届毕业生,本科,4k-6k,"创新前沿,发展空间大,弹性工作,股票期权"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法leader/算法架构,5-10年,本科,35k-70k,"六险一金,技术氛围强"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,高级算法工程师/算法专家-大数据策略,3-5年,本科,25k-50k,"多薪,福利好,团队成员好"
北京蓦然认知科技有限公司,蓦然认知科技,50-150人,A轮,海淀区,算法工程师,1-3年,本科,25k-45k,比Google 和 Siri 还牛的研发团队
深圳晶泰科技有限公司,晶泰科技,50-150人,C轮,海淀区,算法工程师,不限,硕士,12k-24k,"MIT大牛,五险一金,年底双薪,带薪年假"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,算法工程师,3-5年,硕士,35k-70k,"发展好,平台大,机会多,待遇好"
北京悦畅科技有限公司,ETCP,500-2000人,B轮,朝阳区,高级算法,3-5年,本科,35K-50K,技术挑战，团队氛围，发展前景
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,算法工程师,3-5年,大专,25k-40k,五险一金，弹性工作，年底奖金
塞纳德（北京）信息技术有限公司,爱卡汽车,500-2000人,不需要融资,朝阳区,算法工程师,3-5年,本科,20k-30k,"六险一金,带薪年假,餐补交通补,办公环境棒"
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,算法-数据挖掘,3-5年,硕士,35k-70k,年底双薪 弹性办公 技术大牛
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,数据/算法工程师,3-5年,本科,35k-70k,"15薪,13天年假,免费三餐,期权激励"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,算法工程师-知识图谱,3-5年,本科,25k-50k,"创新前沿,技术大牛,弹性工作,发展空间大"
北京品新传媒文化有限公司,36氪,150-500人,D轮及以上,朝阳区,算法工程师,3-5年,本科,25k-35k,"定期体检,带薪年假,发展空间大,五险一金"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师,3-5年,硕士,25k-50k,"班车,餐补"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法工程师,3-5年,本科,20k-40k,"弹性工作,大牛云集,定期团建,AI独角兽"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师,1-3年,硕士,15k-30k,"优秀团队,扁平管理,技术领先,氛围轻松"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,无人车-控制算法,3-5年,硕士,25k-40k,技术大牛
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,算法工程师,1-3年,本科,25k-50k,"大牛如云,待遇给力,海量数据,顶尖团队"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法工程师,不限,本科,30k-60k,"六险一金,扁平管理,技术大拿,福利好"
博才堂（北京）管理咨询有限公司,博才堂,50-150人,未融资,朝阳区,算法总监,5-10年,本科,70k-100k,"年度涨薪,发展空间大,弹性工作"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师-信用风控,5-10年,本科,20k-40k,"班车,餐补"
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,算法专家-语义理解/NLU/NLP,3-5年,硕士,30k-50k,"弹性工作,股票期权,精英团队,千万级用户"
北京和讯在线信息咨询服务有限公司,和讯网,150-500人,不需要融资,朝阳区,算法工程师(000980),1-3年,不限,20k-40k,"弹性工作,技术驱动,福利待遇好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,大兴区,算法工程师,3-5年,本科,20k-40k,"五险一金,免费班车,餐补,大平台"
小船出海教育科技（北京）有限公司,作业帮,2000人以上,C轮,海淀区,数据挖掘/算法实习生,应届毕业生,本科,5k-6k,七险一金；免费三餐；氛围好
哈弗汽车租赁有限公司,哈弗租赁,50-150人,不需要融资,丰台区,算法工程师,3-5年,本科,15k-25k,"五险一金,双休,弹性工作,14薪"
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,算法工程师,3-5年,本科,20k-40k,带薪年假、期权激励、优良环境、每日鲜果
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师,3-5年,本科,20k-40k,六险一金，高薪期权，弹性工作，免费三餐
北京领创智信科技有限公司,北京领创智信科技有限公司,500-2000人,B轮,朝阳区,算法工程师,3-5年,本科,25k-35k,"高能团队,发展空间,优质福利,鼓励创新"
北京图湃影像科技有限公司,图湃影像,15-50人,A轮,海淀区,算法工程师,不限,本科,15k-30k,"期权激励,发展空间大,周末双休,带薪病假"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师,1-3年,硕士,15k-30k,业界领先
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法资深/专家,3-5年,硕士,40k-70k,"技术氛围,发展平台,牛人聚集,加班补贴"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师,5-10年,本科,20k-30k,"班车,餐补"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,大兴区,算法工程师,3-5年,本科,20k-40k,"五险一金,班车"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,算法实习生,1年以下,硕士,4k-5k,"成长大,团队精湛,完善的福利"
北京每日优鲜电子商务有限公司,每日优鲜,500-2000人,C轮,朝阳区,算法工程师,3-5年,本科,20k-40k,"发展空间大,精英团队,技术大牛,超棒氛围"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师-TO B,3-5年,本科,26k-52k,弹性工作，免费三餐，租房补贴
阳光保险集团股份有限公司,阳光产险信保事业部,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,本科,18k-36k,"背靠阳光,年终奖金多,晋升空间大,互联网团队"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,算法工程师,3-5年,本科,38k-60k,"不加班,福利好,有期权,急需3位"
OPPO广东移动通信有限公司,OPPO,2000人以上,不需要融资,朝阳区,算法架构师,3-5年,本科,30k-60k,"亿级用户,高速发展,给力薪酬,公司氛围好"
小糖互联（北京）网络科技有限公司,糖豆,50-150人,B轮,海淀区,视频/图像算法工程,1-3年,硕士,25k-50k,"蓝海领域,无限空间,追求极致,六险一金"
北京未来橙网络科技有限公司,快陪练,50-150人,天使轮,朝阳区,算法工程师,3-5年,本科,25k-35k,"办公环境好,文化氛围棒,明星团队,阳光项目"
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,海淀区,算法工程师,3-5年,本科,20k-40k,公积金全额，带薪年假，节日福利，飞速发展
北京知藏云道科技有限公司,知藏,50-150人,A轮,朝阳区,算法工程师,1-3年,硕士,20k-33k,"七险一金,最新技术,晋升空间,发展平台"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,算法工程师,1-3年,本科,15k-30k,"技术大咖,气氛好,弹性工作,交通便利"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,算法实习生,应届毕业生,硕士,3k-6k,"海量数据,,股票期权,待遇给力"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,闪购事业部-算法专家-北京,5-10年,博士,35k-65k,技术大牛
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,算法工程师,1-3年,本科,15k-25k,"大平台,技术氛围好,弹性时间,办公位置好"
